date,keyword,count
20141101,변전소,3
20141102,변전소,74
20141103,변전소,97
20141104,변전소,0
20141105,변전소,5
20141106,변전소,53
20141107,변전소,21
20141108,변전소,96
20141109,변전소,4
20141110,변전소,99
20141111,변전소,17
20141112,변전소,60
20141113,변전소,31
20141114,변전소,93
20141115,변전소,70
20141116,변전소,16
20141117,변전소,56
20141118,변전소,11
20141119,변전소,26
20141120,변전소,59
20141121,변전소,82
20141122,변전소,23
20141123,변전소,93
20141124,변전소,18
20141125,변전소,27
20141126,변전소,58
20141127,변전소,81
20141128,변전소,21
20141129,변전소,66
20141130,변전소,81
20141101,송전탑,26
20141102,송전탑,39
20141103,송전탑,60
20141104,송전탑,42
20141105,송전탑,88
20141106,송전탑,73
20141107,송전탑,67
20141108,송전탑,15
20141109,송전탑,61
20141110,송전탑,68
20141111,송전탑,50
20141112,송전탑,87
20141113,송전탑,95
20141114,송전탑,69
20141115,송전탑,34
20141116,송전탑,27
20141117,송전탑,30
20141118,송전탑,10
20141119,송전탑,48
20141120,송전탑,21
20141121,송전탑,96
20141122,송전탑,63
20141123,송전탑,20
20141124,송전탑,54
20141125,송전탑,54
20141126,송전탑,16
20141127,송전탑,64
20141128,송전탑,82
20141129,송전탑,42
20141130,송전탑,35
20141101,한국전력,94
20141102,한국전력,3
20141103,한국전력,15
20141104,한국전력,53
20141105,한국전력,100
20141106,한국전력,3
20141107,한국전력,3
20141108,한국전력,1
20141109,한국전력,29
20141110,한국전력,12
20141111,한국전력,30
20141112,한국전력,53
20141113,한국전력,31
20141114,한국전력,54
20141115,한국전력,20
20141116,한국전력,9
20141117,한국전력,94
20141118,한국전력,86
20141119,한국전력,90
20141120,한국전력,27
20141121,한국전력,47
20141122,한국전력,69
20141123,한국전력,31
20141124,한국전력,48
20141125,한국전력,35
20141126,한국전력,98
20141127,한국전력,24
20141128,한국전력,22
20141129,한국전력,75
20141130,한국전력,62
